title,token,no_stopwords,processed,emoji,mention,hashtag,jumlah_emoji,jumlah_mention,jumlah_hashtag
Kalo saya malah meragukan bapak 😂,"[kalo, saya, malah, meragukan, bapak]","[kalo, malah, meragukan, bapak]",kalo malah ragu bapak,😂,,,1,0,0
"LAHHH WKWKWK nasionalisme basi, manusia skrg aja dibuat bercandain idupnya","[lahhh, wkwkwk, nasionalisme, basi, manusia, skrg, aja, dibuat, bercandain, idupnya]","[lahhh, wkwkwk, nasionalisme, basi, manusia, skrg, dibuat, bercandain, idupnya]",lahhh wkwkwk nasionalisme basi manusia skrg buat bercandain idupnya,,,,0,0,0
P infoo pindah negara,"[p, infoo, pindah, negara]","[p, infoo, pindah, negara]",p infoo pindah negara,,,,0,0,0
naah kira2 yg harus intropeksi pemerintah atau rakyatnya?,"[naah, kira, yg, harus, intropeksi, pemerintah, atau, rakyatnya]","[naah, kira, intropeksi, pemerintah, rakyatnya]",naah kira intropeksi perintah rakyat,,,,0,0,0
cinta sebelah tangan itu menyakitkan pak 😭😭😭,"[cinta, sebelah, tangan, itu, menyakitkan, pak]","[cinta, sebelah, tangan, menyakitkan, pak]",cinta belah tangan sakit pak,😭😭😭,,,3,0,0
"keluar negeri juga pake duit sendiri, didalam negeri juga bingung😂","[keluar, negeri, juga, pake, duit, sendiri, didalam, negeri, juga, bingung]","[keluar, negeri, pake, duit, sendiri, didalam, negeri, bingung]",keluar negeri pake duit sendiri dalam negeri bingung,😂,,,1,0,0
YA ALLAH SEMOGA BISA IKUT TREND INI🥺😭🙏🏻,"[ya, allah, semoga, bisa, ikut, trend, ini]","[allah, semoga, ikut, trend]",allah moga ikut trend,🥺😭🙏🏻,,,4,0,0
😌😌 umr 2juta sampe mana lah.!!,"[umr, juta, sampe, mana, lah]","[umr, juta, sampe, mana, lah]",umr juta sampe mana lah,😌😌,,,2,0,0
drpd jadi pejabat yg buat rakyat susah lebih rendah nasionalisme nya,"[drpd, jadi, pejabat, yg, buat, rakyat, susah, lebih, rendah, nasionalisme, nya]","[drpd, pejabat, buat, rakyat, susah, lebih, rendah, nasionalisme]",drpd jabat buat rakyat susah lebih rendah nasionalisme,,,,0,0,0
koruptor jg diragukan nasionalisme nya boss?,"[koruptor, jg, diragukan, nasionalisme, nya, boss]","[koruptor, jg, diragukan, nasionalisme, boss]",koruptor jg ragu nasionalisme boss,,,,0,0,0
bahlil=hama😹,"[bahlil, hama]","[bahlil, hama]",bahlil hama,😹,,,1,0,0
"andai sj waktu itu bisa di putar balik lagi,sy mau ke ausie lagi,tp sayang waktu itu SDH g bisa di putar lg..jd kalau ada teman2 yg sekiranya masih muda dan sehat mending kerja di luar negeri,di luar kita selalu di hargai dari pada di negeri sendiri..🙏","[andai, sj, waktu, itu, bisa, di, putar, balik, lagi, sy, mau, ke, ausie, lagi, tp, sayang, waktu, itu, sdh, g, bisa, di, putar, lg, jd, kalau, ada, teman, yg, sekiranya, masih, muda, dan, sehat, mending, kerja, di, luar, negeri, di, luar, kita, selalu, di, hargai, dari, pada, di, negeri, sendiri]","[andai, sj, waktu, putar, balik, sy, mau, ausie, tp, sayang, waktu, sdh, g, bisa, putar, lg, kalau, teman, sekiranya, muda, sehat, mending, kerja, luar, negeri, luar, selalu, hargai, pada, di, negeri, sendiri]",andai sj waktu putar balik sy mau ausie tp sayang waktu sdh g bisa putar lg kalau teman sekira muda sehat mending kerja luar negeri luar selalu harga pada di negeri sendiri,🙏,,,1,0,0
"salju gratis, gaji banyak, lingkungan bagus, negara maju, nyari kerja gasusah” amat, orangnya sopan santun
#Kaburajadulu","[salju, gratis, gaji, banyak, lingkungan, bagus, negara, maju, nyari, kerja, gasusah, amat, orangnya, sopan, santun]","[salju, gratis, gaji, banyak, lingkungan, bagus, negara, maju, nyari, kerja, gasusah, orangnya, sopan, santun]",salju gratis gaji banyak lingkung bagus negara maju nyari kerja gasusah orang sopan santun,,,#kaburajadulu,0,0,1
bahlul ente bahlil,"[bahlul, ente, bahlil]","[bahlul, ente, bahlil]",bahlul ente bahlil,,,,0,0,0
lha kalok lebih makmur di luar ... kenapa tidak 😂😂😂,"[lha, kalok, lebih, makmur, di, luar, kenapa, tidak]","[lha, kalok, lebih, makmur, luar, tidak]",lha kalok lebih makmur luar tidak,😂😂😂,,,3,0,0
gass keun semuanya sekalian healing😌,"[gass, keun, semuanya, sekalian, healing]","[gass, keun, semuanya, sekalian, healing]",gass keun semua sekali healing,😌,,,1,0,0
Oke siap 🫡 otw 😎😎😎,"[oke, siap, otw]","[oke, siap, otw]",oke siap otw,🫡😎😎😎,,,4,0,0
Bukan masalah nasionalis sih pak lebih ke masalah bertahan hidup aja,"[bukan, masalah, nasionalis, sih, pak, lebih, ke, masalah, bertahan, hidup, aja]","[bukan, masalah, nasionalis, pak, lebih, masalah, bertahan, hidup]",bukan masalah nasionalis pak lebih masalah tahan hidup,,,,0,0,0
"aku klo punya modal uang dan skill jg pengen pindah negara, saya cinta negara ini tp tidak dgn pemerintahnya","[aku, klo, punya, modal, uang, dan, skill, jg, pengen, pindah, negara, saya, cinta, negara, ini, tp, tidak, dgn, pemerintahnya]","[aku, klo, punya, modal, uang, skill, jg, pengen, pindah, negara, cinta, negara, tp, pemerintahnya]",aku klo punya modal uang skill jg ken pindah negara cinta negara tp perintah,,,,0,0,0
"kalo keadaaannya mendukung, ak jg mau ikut pindah negara pak. gaji saya aja satu bulan ga ad 1,5 jt itu aja ga dr tahun ketahun ga pnh ad kenaikan pdhl itu ker di pabrik bukan di warung.","[kalo, keadaaannya, mendukung, ak, jg, mau, ikut, pindah, negara, pak, gaji, saya, aja, satu, bulan, ga, ad, jt, itu, aja, ga, dr, tahun, ketahun, ga, pnh, ad, kenaikan, pdhl, itu, ker, di, pabrik, bukan, di, warung]","[kalo, keadaaannya, mendukung, ak, jg, mau, ikut, pindah, negara, pak, gaji, satu, bulan, ad, jt, dr, tahun, ketahun, pnh, ad, kenaikan, pdhl, ker, pabrik, bukan, warung]",kalo keadaaannya dukung ak jg mau ikut pindah negara pak gaji satu bulan ad jt dr tahun tahun pnh ad naik pdhl ker pabrik bukan warung,,,,0,0,0
sekarang mah yg penting dapat cuan pakkk,"[sekarang, mah, yg, penting, dapat, cuan, pakkk]","[sekarang, mah, penting, cuan, pakkk]",sekarang mah penting cuan pakkk,,,,0,0,0
Emang kalo nasional kita tinggi dapet apa dari negara?,"[emang, kalo, nasional, kita, tinggi, dapet, apa, dari, negara]","[emang, kalo, nasional, tinggi, dapet, apa, negara]",emang kalo nasional tinggi dapet apa negara,,,,0,0,0
kepala desa aja rela ninggalin jabatan nya demi tawaran di jepang. menyala Indonesia kuh🔥,"[kepala, desa, aja, rela, ninggalin, jabatan, nya, demi, tawaran, di, jepang, menyala, indonesia, kuh]","[kepala, desa, rela, ninggalin, jabatan, tawaran, jepang, menyala, indonesia, kuh]",kepala desa rela ninggalin jabat tawar jepang nyala indonesia kuh,🔥,,,1,0,0
@Lee liat ini,"[liat, ini]",[liat],liat,,@lee,,0,1,0
"gaji kecil, persyaratan mustahil","[gaji, kecil, persyaratan, mustahil]","[gaji, kecil, persyaratan, mustahil]",gaji kecil syarat mustahil,,,,0,0,0
"menteri said: kalo kalian pergi ke luar negeri, saya meragukan rasa nasionalisme kalian.!!!
SEMENTARA ITU DI DIMENSI YANG LAIN
PDIP: Jual pulau aja lah lumayan duit banyak, gak apa apa pulau, negara ilang yang penting duit banyak.
NASIONALISME SEKALI KAN?","[menteri, said, kalo, kalian, pergi, ke, luar, negeri, saya, meragukan, rasa, nasionalisme, kalian, sementara, itu, di, dimensi, yang, lain, pdip, jual, pulau, aja, lah, lumayan, duit, banyak, gak, apa, apa, pulau, negara, ilang, yang, penting, duit, banyak, nasionalisme, sekali, kan]","[menteri, said, kalo, kalian, pergi, luar, negeri, meragukan, rasa, nasionalisme, kalian, itu, dimensi, lain, pdip, jual, pulau, lah, lumayan, duit, banyak, apa, apa, pulau, negara, ilang, penting, duit, banyak, nasionalisme, sekali]",menteri said kalo kalian pergi luar negeri ragu rasa nasionalisme kalian itu dimensi lain pdip jual pulau lah lumayan duit banyak apa apa pulau negara ilang penting duit banyak nasionalisme sekali,,,,0,0,0
Mboh yak..neng Hongkong gaji 14jt neng Indo kerjo gaji700rb ae koyo kedibal tenan😂😂..,"[mboh, yak, neng, hongkong, gaji, jt, neng, indo, kerjo, gajirb, ae, koyo, kedibal, tenan]","[mboh, yak, neng, hongkong, gaji, jt, neng, indo, kerjo, gajirb, ae, koyo, kedibal, tenan]",mboh yak neng hongkong gaji jt neng indo kerjo gajirb ae koyo bal tenan,😂😂,,,2,0,0
"gimana mau nasionalisme, dikit' ordal, dikit' pengalaman, dikit' kalah ama yg berduit🗿","[gimana, mau, nasionalisme, dikit, ordal, dikit, pengalaman, dikit, kalah, ama, yg, berduit]","[gimana, mau, nasionalisme, dikit, ordal, dikit, pengalaman, dikit, kalah, ama, berduit]",gimana mau nasionalisme dikit ordal dikit alam dikit kalah ama duit,🗿,,,1,0,0
"save dlu, semoga bisa join the trend","[save, dlu, semoga, bisa, join, the, trend]","[save, dlu, semoga, join, the, trend]",save dlu moga join the trend,,,,0,0,0
ngomong nasionalisme tapi ga pancasila ora kanggo😂,"[ngomong, nasionalisme, tapi, ga, pancasila, ora, kanggo]","[ngomong, nasionalisme, pancasila, ora, kanggo]",ngomong nasionalisme pancasila ora kanggo,😂,,,1,0,0
@partaigerindra naikan UMR Jawa tengah pak🙏 daerah tersebut masa paling kecil UMR nya di Indonesia🤣,"[naikan, umr, jawa, tengah, pak, daerah, tersebut, masa, paling, kecil, umr, nya, di, indonesia]","[naikan, umr, jawa, tengah, pak, daerah, tersebut, masa, paling, kecil, umr, indonesia]",naik umr jawa tengah pak daerah sebut masa paling kecil umr indonesia,🙏🤣,@partaigerindra,,2,1,0
bahlil bahlul ☺️,"[bahlil, bahlul]","[bahlil, bahlul]",bahlil bahlul,☺,,,1,0,0
"makan nasionalisme ga kenyang, makan nasi noh kenyang","[makan, nasionalisme, ga, kenyang, makan, nasi, noh, kenyang]","[makan, nasionalisme, kenyang, makan, nasi, noh, kenyang]",makan nasionalisme kenyang makan nasi noh kenyang,,,,0,0,0
gw juga mau kalo ada kesempatan k🇯🇵#kaburajadulu,"[gw, juga, mau, kalo, ada, kesempatan, k]","[gw, mau, kalo, kesempatan, k]",gw mau kalo sempat k,,,#kaburajadulu,0,0,1
terus kenapa bapak TDK meragukan nasionalisme para k0rup. aku punya banyak uang mau pindah jugalah pak.,"[terus, kenapa, bapak, tdk, meragukan, nasionalisme, para, krup, aku, punya, banyak, uang, mau, pindah, jugalah, pak]","[terus, bapak, meragukan, nasionalisme, krup, aku, punya, banyak, uang, mau, pindah, jugalah, pak]",terus bapak ragu nasionalisme krup aku punya banyak uang mau pindah juga pak,,,,0,0,0
iya saya juga meragukan gaji di Indonesia,"[iya, saya, juga, meragukan, gaji, di, indonesia]","[juga, meragukan, gaji, indonesia]",juga ragu gaji indonesia,,,,0,0,0
Lahh masalahnya kami juga meragukan kepedulian negara terhadap kami pak😂,"[lahh, masalahnya, kami, juga, meragukan, kepedulian, negara, terhadap, kami, pak]","[lahh, masalahnya, juga, meragukan, kepedulian, negara, kami, pak]",lahh masalah juga ragu peduli negara kami pak,😂,,,1,0,0
😂😂😂lanjoot,[lanjoot],[lanjoot],lanjoot,😂😂😂,,,3,0,0
diposting ulang prabowo,"[diposting, ulang, prabowo]","[diposting, ulang, prabowo]",diposting ulang prabowo,,,,0,0,0
minimal nasionalisme tuh mentingin rakyat🗿,"[minimal, nasionalisme, tuh, mentingin, rakyat]","[minimal, nasionalisme, tuh, mentingin, rakyat]",minimal nasionalisme tuh mentingin rakyat,🗿,,,1,0,0
di LN negara tujuan terutama erpa rakyatnya lebih dihargai dan lapa pekerjaan menjamin hidup 1000 THN lil,"[di, ln, negara, tujuan, terutama, erpa, rakyatnya, lebih, dihargai, dan, lapa, pekerjaan, menjamin, hidup, thn, lil]","[ln, negara, tujuan, terutama, erpa, rakyatnya, lebih, dihargai, lapa, pekerjaan, menjamin, hidup, thn, lil]",ln negara tuju utama erpa rakyat lebih harga lapa kerja jamin hidup thn lil,,,,0,0,0
klo nasionalisme bisa naikin gaji ma hayuuk,"[klo, nasionalisme, bisa, naikin, gaji, ma, hayuuk]","[klo, nasionalisme, naikin, gaji, ma, hayuuk]",klo nasionalisme naikin gaji ma hayuuk,,,,0,0,0
gue juga klo punya banyak duit udh pindah negara,"[gue, juga, klo, punya, banyak, duit, udh, pindah, negara]","[klo, punya, banyak, duit, pindah, negara]",klo punya banyak duit pindah negara,,,,0,0,0
gua orang kampung gaji UMR juga udah cukup yg ga cukup mungkin orng kota gaji umr,"[gua, orang, kampung, gaji, umr, juga, udah, cukup, yg, ga, cukup, mungkin, orng, kota, gaji, umr]","[orang, kampung, gaji, umr, cukup, cukup, mungkin, orng, kota, gaji, umr]",orang kampung gaji umr cukup cukup mungkin orng kota gaji umr,,,,0,0,0
"anda meragukan kami,kami justru malah lebih ragu terhadap anda dan teman"" anda🗿","[anda, meragukan, kami, kami, justru, malah, lebih, ragu, terhadap, anda, dan, teman, anda]","[meragukan, kami, justru, malah, lebih, ragu, teman, anda]",ragu kami justru malah lebih ragu teman anda,🗿,,,1,0,0
"saking kepikirannya, aq sampe bilang sma anakq, nanti klo kerjamu di luar negri, bunda sm bapakmu ikut ya 😂😂","[saking, kepikirannya, aq, sampe, bilang, sma, anakq, nanti, klo, kerjamu, di, luar, negri, bunda, sm, bapakmu, ikut, ya]","[saking, kepikirannya, aq, sampe, bilang, sma, anakq, klo, kerjamu, luar, negri, bunda, sm, bapakmu, ikut]",saking pikir aq sampe bilang sma anakq klo kerja luar negri bunda sm bapak ikut,😂😂,,,2,0,0
"perbanyak loker , umk naikin minimal 10jt perbulan , syarat kerja usia yg penting 17thn keatas jangan dibatasin","[perbanyak, loker, umk, naikin, minimal, jt, perbulan, syarat, kerja, usia, yg, penting, thn, keatas, jangan, dibatasin]","[perbanyak, loker, umk, naikin, minimal, jt, perbulan, syarat, kerja, usia, penting, thn, keatas, jangan, dibatasin]",banyak loker umk naikin minimal jt bulan syarat kerja usia penting thn atas jangan dibatasin,,,,0,0,0
Nasionalisme gak bisa beli beras pak… tetep kudu kerjo…,"[nasionalisme, gak, bisa, beli, beras, pak, tetep, kudu, kerjo]","[nasionalisme, beli, beras, pak, tetep, kudu, kerjo]",nasionalisme beli beras pak tetep kudu kerjo,,,,0,0,0
jadi keinget ramalan the Simpsons jadi Singapura,"[jadi, keinget, ramalan, the, simpsons, jadi, singapura]","[keinget, ramalan, the, simpsons, singapura]",keinget ramal the simpsons singapura,,,,0,0,0
"mdh2an anak sy mau melanjutkan sekolahx di LN mslh biaya ibumu ini akan crkan entah kaki jd kepala,kepala jd kaki.ssmoga di mudahkan Ya Allah🥰","[mdhan, anak, sy, mau, melanjutkan, sekolahx, di, ln, mslh, biaya, ibumu, ini, akan, crkan, entah, kaki, jd, kepala, kepala, jd, kaki, ssmoga, di, mudahkan, ya, allah]","[mdhan, anak, sy, mau, melanjutkan, sekolahx, ln, mslh, biaya, ibumu, akan, crkan, entah, kaki, kepala, kepala, kaki, ssmoga, mudahkan, allah]",mdhan anak sy mau lanjut sekolahx ln mslh biaya ibu akan crkan entah kaki kepala kepala kaki ssmoga mudah allah,🥰,,,1,0,0
"gua suka gaya lu bang doain dah biar bisa tinggal di luar negeri juga,biar punya rumah pekerjaan dan punya keluarga di sana juga🗿","[gua, suka, gaya, lu, bang, doain, dah, biar, bisa, tinggal, di, luar, negeri, juga, biar, punya, rumah, pekerjaan, dan, punya, keluarga, di, sana, juga]","[suka, gaya, bang, doain, dah, biar, tinggal, luar, negeri, biar, punya, rumah, pekerjaan, punya, keluarga, sana]",suka gaya bang doain dah biar tinggal luar negeri biar punya rumah kerja punya keluarga sana,🗿,,,1,0,0
"nasionalisme kami jangan di ragukan lagi pak sudah jelas,yg perlu di ragukan apakah kami bisa kerja dan hidup layak di negera ini","[nasionalisme, kami, jangan, di, ragukan, lagi, pak, sudah, jelas, yg, perlu, di, ragukan, apakah, kami, bisa, kerja, dan, hidup, layak, di, negera, ini]","[nasionalisme, jangan, ragukan, pak, jelas, perlu, ragukan, kami, kerja, hidup, layak, negera]",nasionalisme jangan ragu pak jelas perlu ragu kami kerja hidup layak negera,,,,0,0,0
jika temana2 berpikir kerjaa di Indonesia saya Mala meragukan syarat2 kalian🙏🚨🤣,"[jika, temana, berpikir, kerjaa, di, indonesia, saya, mala, meragukan, syarat, kalian]","[temana, berpikir, kerjaa, indonesia, mala, meragukan, syarat, kalian]",temana pikir kerjaa indonesia mala ragu syarat kalian,🙏🚨🤣,,,3,0,0
bahlil bahlil😹😹,"[bahlil, bahlil]","[bahlil, bahlil]",bahlil bahlil,😹😹,,,2,0,0
sipaling nasionalis bahlul🗿,"[sipaling, nasionalis, bahlul]","[sipaling, nasionalis, bahlul]",sipaling nasionalis bahlul,🗿,,,1,0,0
pengenn😭😭 tp keterbatasan,"[pengenn, tp, keterbatasan]","[pengenn, tp, keterbatasan]",pengenn tp batas,😭😭,,,2,0,0
yg penting HEPI pindah ke luar negri og pak 🗿,"[yg, penting, hepi, pindah, ke, luar, negri, og, pak]","[penting, hepi, pindah, luar, negri, og, pak]",penting hepi pindah luar negri og pak,🗿,,,1,0,0
"kita cinta negara, tp negara malah gak cinta? senasionalisme apa coba kita","[kita, cinta, negara, tp, negara, malah, gak, cinta, senasionalisme, apa, coba, kita]","[cinta, negara, tp, negara, malah, cinta, senasionalisme, apa, coba]",cinta negara tp negara malah cinta nasional apa coba,,,,0,0,0
@Binti Salis waktunya gak sihh🤣,"[salis, waktunya, gak, sihh]","[salis, waktunya, sihh]",sal waktu sihh,🤣,@binti,,1,1,0
daftar syulit gaji pun syulit🗿 di indo,"[daftar, syulit, gaji, pun, syulit, di, indo]","[daftar, syulit, gaji, syulit, indo]",daftar syulit gaji syulit indo,🗿,,,1,0,0
udah 2 taun kabur nih🤭😭😭,"[udah, taun, kabur, nih]","[taun, kabur]",taun kabur,🤭😭😭,,,3,0,0
pindah saja dulu jgn hiraukan org ini adalah toxic masa depanmu,"[pindah, saja, dulu, jgn, hiraukan, org, ini, adalah, toxic, masa, depanmu]","[pindah, dulu, jgn, hiraukan, org, adalah, toxic, masa, depanmu]",pindah dulu jgn hirau org adalah toxic masa depan,,,,0,0,0
justru yg korup lah yg tidak nasionalisme,"[justru, yg, korup, lah, yg, tidak, nasionalisme]","[justru, korup, lah, nasionalisme]",justru korup lah nasionalisme,,,,0,0,0
soalnya sy realistis pak 😭🙏🏻,"[soalnya, sy, realistis, pak]","[soalnya, sy, realistis, pak]",soal sy realistis pak,😭🙏🏻,,,3,0,0
kerja apa bg?😅,"[kerja, apa, bg]","[kerja, apa, bg]",kerja apa bg,😅,,,1,0,0
trend yang sayaa suka,"[trend, yang, sayaa, suka]","[trend, sayaa, suka]",trend sayaa suka,,,,0,0,0
rame2 nyok pindah 😂,"[rame, nyok, pindah]","[rame, nyok, pindah]",rame nyok pindah,😂,,,1,0,0
"anda butuh uang
kita lebih butuh uang","[anda, butuh, uang, kita, lebih, butuh, uang]","[butuh, uang, lebih, butuh, uang]",butuh uang lebih butuh uang,,,,0,0,0
kalo bisa bahasanya aku pngn pindah ke tarim.,"[kalo, bisa, bahasanya, aku, pngn, pindah, ke, tarim]","[kalo, bahasanya, aku, pngn, pindah, tarim]",kalo bahasa aku pngn pindah tarim,,,,0,0,0
duid duid duid duid,"[duid, duid, duid, duid]","[duid, duid, duid, duid]",duid duid duid duid,,,,0,0,0
saya juga meragukan nasionalisme anda,"[saya, juga, meragukan, nasionalisme, anda]","[juga, meragukan, nasionalisme]",juga ragu nasionalisme,,,,0,0,0
nasionalisme bapak kayanya bagus bgt,"[nasionalisme, bapak, kayanya, bagus, bgt]","[nasionalisme, bapak, kayanya, bagus, bgt]",nasionalisme bapak kaya bagus bgt,,,,0,0,0
Yo mergo Kowe sugih penak ngomong ngnu pak🗿,"[yo, mergo, kowe, sugih, penak, ngomong, ngnu, pak]","[yo, mergo, kowe, sugih, penak, ngomong, ngnu, pak]",yo mergo kowe sugih penak ngomong ngnu pak,🗿,,,1,0,0
ini bukan tentang nasionalisme pak tapi soal kelangsungan hidup,"[ini, bukan, tentang, nasionalisme, pak, tapi, soal, kelangsungan, hidup]","[bukan, nasionalisme, pak, soal, kelangsungan, hidup]",bukan nasionalisme pak soal langsung hidup,,,,0,0,0
semoga bisa juga😆,"[semoga, bisa, juga]","[semoga, juga]",moga juga,😆,,,1,0,0
gimana kabur negara sendiri aja udh penuh tikus makan uang mending negara tetangga,"[gimana, kabur, negara, sendiri, aja, udh, penuh, tikus, makan, uang, mending, negara, tetangga]","[gimana, kabur, negara, sendiri, penuh, tikus, makan, uang, mending, negara, tetangga]",gimana kabur negara sendiri penuh tikus makan uang mending negara tetangga,,,,0,0,0
"kerja 12 jam yg di bayar 6 jam, kerja serius gaji becanda #kaburajadulu","[kerja, jam, yg, di, bayar, jam, kerja, serius, gaji, becanda]","[kerja, jam, bayar, jam, kerja, serius, gaji, becanda]",kerja jam bayar jam kerja serius gaji becanda,,,#kaburajadulu,0,0,1
yang nasionalisme aja masih korupsi🗿😂,"[yang, nasionalisme, aja, masih, korupsi]","[nasionalisme, korupsi]",nasionalisme korupsi,🗿😂,,,2,0,0
Sebelum ini viral . Gue udah kepikiran kerja di luar,"[sebelum, ini, viral, gue, udah, kepikiran, kerja, di, luar]","[ini, viral, kepikiran, kerja, luar]",ini viral pikir kerja luar,,,,0,0,0
@sayang_ceunah🐥 kabur aja dulu,"[kabur, aja, dulu]","[kabur, dulu]",kabur dulu,🐥,@sayang_ceunah,,1,1,0
saya cinta indonesia tapi sayang cinta saya bertepuk sebelah tangan😌,"[saya, cinta, indonesia, tapi, sayang, cinta, saya, bertepuk, sebelah, tangan]","[cinta, indonesia, sayang, cinta, bertepuk, sebelah, tangan]",cinta indonesia sayang cinta tepuk belah tangan,😌,,,1,0,0
justru saya meragukan kerja para penjabat di Negara ini pak...,"[justru, saya, meragukan, kerja, para, penjabat, di, negara, ini, pak]","[justru, meragukan, kerja, penjabat, negara, pak]",justru ragu kerja jabat negara pak,,,,0,0,0
AYO GUYSS RAMEIN TAGAR #kaburajadulu sambil nabung dari skrng beberapa bulan lagi kita kabur bareng” 🏃,"[ayo, guyss, ramein, tagar, sambil, nabung, dari, skrng, beberapa, bulan, lagi, kita, kabur, bareng]","[ayo, guyss, ramein, tagar, nabung, skrng, beberapa, bulan, kita, kabur, bareng]",ayo guyss ramein tagar nabung skrng beberapa bulan kita kabur bareng,🏃,,#kaburajadulu,1,0,1
"buka lapangan kerja sebanyak mungkin Tampa Padang umur,fisik,Maka ngk bakalan ada yg pindah negara😊,mulai sekarang harus bijak,dan di Era pak prabowo gibran ini,perjuangkan rakyat mu pak","[buka, lapangan, kerja, sebanyak, mungkin, tampa, padang, umur, fisik, maka, ngk, bakalan, ada, yg, pindah, negara, mulai, sekarang, harus, bijak, dan, di, era, pak, prabowo, gibran, ini, perjuangkan, rakyat, mu, pak]","[buka, lapangan, kerja, sebanyak, mungkin, tampa, padang, umur, fisik, ngk, bakalan, pindah, negara, mulai, sekarang, bijak, di, era, pak, prabowo, gibran, perjuangkan, rakyat, mu, pak]",buka lapang kerja banyak mungkin tampa padang umur fisik ngk bakal pindah negara mulai sekarang bijak di era pak prabowo gibran juang rakyat mu pak,😊,,,1,0,0
"KALO SAYA MAMPU MENDING PINDAH KE LUAR NEGRI,,,,,DI NEGRI SENDIRI TERUS TERUSAN DI KERJAIN,,,,","[kalo, saya, mampu, mending, pindah, ke, luar, negri, di, negri, sendiri, terus, terusan, di, kerjain]","[kalo, mampu, mending, pindah, luar, negri, negri, sendiri, terus, terusan, kerjain]",kalo mampu mending pindah luar negri negri sendiri terus terus kerjain,,,,0,0,0
"Maka nya jagan banyak x sarat kerja di Indonesia,lihat umur lihat fisik,tinggi ganteng,luar tak butuh itu,yg penting sangup kerja,","[maka, nya, jagan, banyak, x, sarat, kerja, di, indonesia, lihat, umur, lihat, fisik, tinggi, ganteng, luar, tak, butuh, itu, yg, penting, sangup, kerja]","[jagan, banyak, x, sarat, kerja, indonesia, lihat, umur, lihat, fisik, tinggi, ganteng, luar, tak, butuh, penting, sangup, kerja]",jagan banyak x sarat kerja indonesia lihat umur lihat fisik tinggi ganteng luar tak butuh penting sangup kerja,,,,0,0,0
saya sangat salut sm ank pemuda2 mau krj luar negri semangat mu trs kan pulang k indonesia sdh puya rmh sendiri tambungan di hari tua.dan bahagia kan ibu bapa mu klu ms ada.,"[saya, sangat, salut, sm, ank, pemuda, mau, krj, luar, negri, semangat, mu, trs, kan, pulang, k, indonesia, sdh, puya, rmh, sendiri, tambungan, di, hari, tua, dan, bahagia, kan, ibu, bapa, mu, klu, ms, ada]","[sangat, salut, sm, ank, pemuda, mau, krj, luar, negri, semangat, mu, trs, pulang, k, indonesia, sdh, puya, rmh, sendiri, tambungan, hari, tua, bahagia, ibu, bapa, mu, klu, ms]",sangat salut sm ank pemuda mau krj luar negri semangat mu trs pulang k indonesia sdh puya rmh sendiri tambung hari tua bahagia ibu bapa mu klu ms,,,,0,0,0
"klo aku masih mudah, malah pengen pindah keluar negeri juga...
yg masih mudah dan masih punya kesempatan. Ayo semangat memperbaiki ekonomi. apapun jalannya selama halal...","[klo, aku, masih, mudah, malah, pengen, pindah, keluar, negeri, juga, yg, masih, mudah, dan, masih, punya, kesempatan, ayo, semangat, memperbaiki, ekonomi, apapun, jalannya, selama, halal]","[klo, aku, mudah, malah, pengen, pindah, keluar, negeri, mudah, masih, punya, kesempatan, ayo, semangat, memperbaiki, ekonomi, apapun, jalannya, selama, halal]",klo aku mudah malah ken pindah keluar negeri mudah masih punya sempat ayo semangat baik ekonomi apa jalan lama halal,,,,0,0,0
lah we malah pengen pindah ke tempat Naruto 😁😁😁,"[lah, we, malah, pengen, pindah, ke, tempat, naruto]","[lah, we, malah, pengen, pindah, tempat, naruto]",lah we malah ken pindah tempat naruto,😁😁😁,,,3,0,0
Gw kalo punya kesempatan pun bakal pindah🤣,"[gw, kalo, punya, kesempatan, pun, bakal, pindah]","[gw, kalo, punya, kesempatan, bakal, pindah]",gw kalo punya sempat bakal pindah,🤣,,,1,0,0
pindah?kerja?kok sepemahaman saya beda konsep ya😭😭🙏,"[pindah, kerja, kok, sepemahaman, saya, beda, konsep, ya]","[pindah, kerja, sepemahaman, beda, konsep]",pindah kerja paham beda konsep,😭😭🙏,,,3,0,0
@Esha @arindavireva,[],[],,,"@esha, @arindavireva",,0,2,0
aku jugk pengn pindah di sini nyarik kerja sulit nya mintak ampun,"[aku, jugk, pengn, pindah, di, sini, nyarik, kerja, sulit, nya, mintak, ampun]","[aku, jugk, pengn, pindah, sini, nyarik, kerja, sulit, mintak, ampun]",aku jugk pengn pindah sini nyarik kerja sulit mintak ampun,,,,0,0,0
heleeeehhhh😁😁😁,[heleeeehhhh],[heleeeehhhh],heleeeehhhh,😁😁😁,,,3,0,0
kaaa ikutttt 😂😂😂,"[kaaa, ikutttt]","[kaaa, ikutttt]",kaaa ikutttt,😂😂😂,,,3,0,0
dari pada hidup di negara sendiri ga jadi kaya' mending ke negara lain🥴,"[dari, pada, hidup, di, negara, sendiri, ga, jadi, kaya, mending, ke, negara, lain]","[pada, hidup, negara, sendiri, kaya, mending, negara]",pada hidup negara sendiri kaya mending negara,🥴,,,1,0,0
dia meragukan dirinya sendiri🗿🤦,"[dia, meragukan, dirinya, sendiri]","[meragukan, dirinya, sendiri]",ragu diri sendiri,🗿🤦,,,2,0,0
