"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","processed","sentiment_label","likes","reply_count","created_time_formatted"
"pret🤣","pret🤣","pret","pret","['pret']","pret","netral","0","0","2025-02-18 14:36:25"
"Nilam.’s comment: hahahaha pgn bgt repostt😭😭😭","hahahaha pgn bgt repostt😭😭😭","hahahaha pgn bgt repostt","hahahaha ingin banget repostt","['hahahaha', 'banget', 'repostt']","hahahaha banget repostt","positif","1","0","2025-02-12 23:10:26"
"Seharusnya pejabat melayani rakyat bukan rakyat jd sumber kekayaan pejabat","Seharusnya pejabat melayani rakyat bukan rakyat jd sumber kekayaan pejabat","seharusnya pejabat melayani rakyat bukan rakyat jd sumber kekayaan pejabat","seharusnya pejabat melayani rakyat bukan rakyat jadi sumber kekayaan pejabat","['jabat', 'layan', 'rakyat', 'rakyat', 'sumber', 'kaya', 'jabat']","jabat layan rakyat rakyat sumber kaya jabat","negatif","1","0","2025-02-17 15:48:02"
"Cooky_ssy’s comment: kalau menurut kak vina gimana?","kalau menurut kak vina gimana?","kalau menurut kak vina gimana","kalau menurut kak vina bagaimana","['kak', 'vina']","kak vina","netral","0","0","2025-02-14 11:46:25"
"semua cinta Indonesia tp pekerja di luar negeri lbh menjanjikan","semua cinta Indonesia tp pekerja di luar negeri lbh menjanjikan","semua cinta indonesia tp pekerja di luar negeri lbh menjanjikan","semua cinta indonesia tp pekerja di luar negeri lbh menjanjikan","['cinta', 'indonesia', 'tp', 'kerja', 'negeri', 'lbh', 'janji']","cinta indonesia tp kerja negeri lbh janji","positif","11","0","2025-02-13 00:47:24"
"gw gak peduli🗿","gw gak peduli🗿","gw gak peduli","saya tidak peduli","['peduli']","peduli","negatif","0","0","2025-02-16 05:17:32"
"arie asharie’s comment: 😂🤣😂🤣 jika ada asap maka ada api ,, jika ada kecewa pasti harapan ,, rakyat kecewa pasti kebijakan pejabatnya mejerat rakyatnya ✌️✌️😇😎😎","😂🤣😂🤣 jika ada asap maka ada api ,, jika ada kecewa pasti harapan ,, rakyat kecewa pasti kebijakan pejabatnya mejerat rakyatnya ✌️✌️😇😎😎","jika ada asap maka ada api jika ada kecewa pasti harapan rakyat kecewa pasti kebijakan pejabatnya mejerat rakyatnya","jika ada segera maka ada api jika ada kecewa pasti harapan rakyat kecewa pasti kebijakan pejabatnya mejerat rakyatnya","['api', 'kecewa', 'harap', 'rakyat', 'kecewa', 'bijak', 'jabat', 'mejerat', 'rakyat']","api kecewa harap rakyat kecewa bijak jabat mejerat rakyat","negatif","1","0","2025-02-14 05:07:50"
"kosong’s comment: gasskeun tahun depan
#kaburajadulu","gasskeun tahun depan
#kaburajadulu","gasskeun tahun depan","gasskeun tahun depan","['gasskeun']","gasskeun","positif","0","0","2025-02-22 04:03:09"
"Phi_N’s comment: BAWA KOPERMU KAWAN KITA TERBANG KE JERMAN","BAWA KOPERMU KAWAN KITA TERBANG KE JERMAN","bawa kopermu kawan kita terbang ke jerman","bawa kopermu kawan kita terbang ke jerman","['bawa', 'koper', 'kawan', 'terbang', 'jerman']","bawa koper kawan terbang jerman","positif","0","0","2025-02-19 05:02:21"
"Michiko’s comment: mau dong ikut pindah ke luar negri , pindah ke bulan juga boleh , di Konoha serba ribet","mau dong ikut pindah ke luar negri , pindah ke bulan juga boleh , di Konoha serba ribet","mau dong ikut pindah ke luar negri pindah ke bulan juga boleh di konoha serba ribet","mau dong ikut pindah ke luar negri pindah ke bulan juga boleh di konoha serba ribet","['pindah', 'negri', 'pindah', 'konoha', 'serba', 'ribet']","pindah negri pindah konoha serba ribet","positif","0","0","2025-02-17 04:30:02"
"岁 AEROZEN 亗’s comment: Maksud nasionalisme Bahlil, kalo banyak yg pindah, pajak akan berkurang, dan gaji mrk seret","Maksud nasionalisme Bahlil, kalo banyak yg pindah, pajak akan berkurang, dan gaji mrk seret","maksud nasionalisme bahlil kalo banyak yg pindah pajak akan berkurang dan gaji mrk seret","maksud nasionalisme bahlil kalau banyak yang pindah pajak akan berkurang dan gaji mrk seret","['maksud', 'nasionalisme', 'bahlil', 'pindah', 'pajak', 'kurang', 'gaji', 'mrk', 'seret']","maksud nasionalisme bahlil pindah pajak kurang gaji mrk seret","negatif","3799","25","2025-02-12 02:16:14"
"PEDULI PELAYANAN PUBLIK’s comment: Dia mah dapat Gaji tinggi dan Fasilitas dari Negara.....ngomongin MERAGUKAN NASIONALISME.....UPAH SEDIKIT...TUNTUTAN PAJAK BESAR....KAMI YANG MERAGUKAN NASIONALISME ANDA....#SEJAHTERAKAN PEJABAT🤔","Dia mah dapat Gaji tinggi dan Fasilitas dari Negara.....ngomongin MERAGUKAN NASIONALISME.....UPAH SEDIKIT...TUNTUTAN PAJAK BESAR....KAMI YANG MERAGUKAN NASIONALISME ANDA....#SEJAHTERAKAN PEJABAT🤔","dia mah dapat gaji tinggi dan fasilitas dari negarangomongin meragukan nasionalismeupah sedikittuntutan pajak besarkami yang meragukan nasionalisme anda pejabat","dia mah dapat gaji tinggi dan fasilitas dari negarangomongin meragukan nasionalismeupah sedikittuntutan pajak besarkami yang meragukan nasionalisme anda pejabat","['gaji', 'fasilitas', 'negarangomongin', 'ragu', 'nasionalismeupah', 'sedikittuntutan', 'pajak', 'besarkami', 'ragu', 'nasionalisme', 'jabat']","gaji fasilitas negarangomongin ragu nasionalismeupah sedikittuntutan pajak besarkami ragu nasionalisme jabat","negatif","0","0","2025-02-21 00:05:35"
"Ahmad_’s comment: di atas video kak @vmuliana yang pakai video ini😅","di atas video kak @vmuliana yang pakai video ini😅","di atas video kak yang pakai video ini","di atas video kak yang pakai video ini","['kak', 'pakai']","kak pakai","netral","0","0","2025-02-19 14:20:07"
"gw dah kabur dri 2010 kalian kapan 😂😂😂","gw dah kabur dri 2010 kalian kapan 😂😂😂","gw dah kabur dri 2010 kalian kapan","saya dah kabur dri 2010 kalian kapan","['dah', 'kabur', 'dri']","dah kabur dri","positif","0","0","2025-02-14 21:10:15"
"bang/kak, mau nanya
saya sekarang lgi kerja di luar negri, batin sama pikiran kesiksa pengen sama adik trs, mending pulang/lanjut maju terus?","bang/kak, mau nanya
saya sekarang lgi kerja di luar negri, batin sama pikiran kesiksa pengen sama adik trs, mending pulang/lanjut maju terus?","bangkak mau nanya saya sekarang lgi kerja di luar negri batin sama pikiran kesiksa pengen sama adik trs mending pulanglanjut maju terus","bangkak mau nanya saya sekarang lgi kerja di luar negri batin sama pikiran kesiksa ingin sama adik trs mending pulanglanjut maju terus","['bangkak', 'nanya', 'lgi', 'kerja', 'negri', 'batin', 'pikir', 'siksa', 'adik', 'trs', 'mending', 'pulanglanjut', 'maju']","bangkak nanya lgi kerja negri batin pikir siksa adik trs mending pulanglanjut maju","positif","1","0","2025-02-25 00:36:15"
"J, Cikaa’s comment: @sarah.msy","@sarah.msy","msy","msy","['msy']","msy","netral","0","0","2025-02-12 05:01:57"
"yg kerja di luar mending diem deh takutnya nanti pemerintah bikin peraturan yg di luar nalar 😂😂","yg kerja di luar mending diem deh takutnya nanti pemerintah bikin peraturan yg di luar nalar 😂😂","yg kerja di luar mending diem deh takutnya nanti pemerintah bikin peraturan yg di luar nalar","yang kerja di luar mending diem deh takutnya nanti pemerintah bikin peraturan yang di luar nalar","['kerja', 'mending', 'diem', 'takut', 'perintah', 'bikin', 'atur', 'nalar']","kerja mending diem takut perintah bikin atur nalar","negatif","0","0","2025-02-20 06:05:33"
"997’s comment: Mau , kalau mau keluar negri kerja ngurusnya dimana ya?","Mau , kalau mau keluar negri kerja ngurusnya dimana ya?","mau kalau mau keluar negri kerja ngurusnya dimana ya","mau kalau mau keluar negri kerja ngurusnya dimana ya","['negri', 'kerja', 'ngurusnya', 'mana']","negri kerja ngurusnya mana","positif","0","0","2025-02-12 16:25:33"
"Bahlil kayak mampu aja buat ngurusin perut orang 🤣","Bahlil kayak mampu aja buat ngurusin perut orang 🤣","bahlil kayak mampu aja buat ngurusin perut orang","bahlil kayak mampu aja buat ngurusin perut orang","['bahlil', 'kayak', 'aja', 'ngurusin', 'perut', 'orang']","bahlil kayak aja ngurusin perut orang","negatif","1","0","2025-02-12 05:54:50"
"ANGLERBOY’s comment: hidup di indo enak.kalo banyak orang dalam 🤣","hidup di indo enak.kalo banyak orang dalam 🤣","hidup di indo enakkalo banyak orang dalam","hidup di indonesia enakkalo banyak orang dalam","['hidup', 'indonesia', 'enakkalo', 'orang']","hidup indonesia enakkalo orang","negatif","0","0","2025-02-17 18:14:40"
"C-HR’s comment: gkk da isi Otak mu pak!! gkk pantas u jadi Menteri","gkk da isi Otak mu pak!! gkk pantas u jadi Menteri","gkk da isi otak mu pak gkk pantas u jadi menteri","gkk da isi otak mu pak gkk pantas kamu jadi menteri","['gkk', 'da', 'isi', 'otak', 'gkk', 'menteri']","gkk da isi otak gkk menteri","negatif","0","0","2025-02-21 01:24:36"
"KENJAKU’s comment: lu keren bro","lu keren bro","lu keren bro","kamu keren bro","['keren', 'bro']","keren bro","netral","1","0","2025-02-15 04:18:51"
"Rboy’s comment: almarhum bj Habibie aja #kaburajadlu","almarhum bj Habibie aja #kaburajadlu","almarhum bj habibie aja","almarhum bj habibie aja","['almarhum', 'bj', 'habibie', 'aja']","almarhum bj habibie aja","positif","1","0","2025-02-12 04:20:49"
"Made’s comment: yang dimaksud pak Bahlil itu pindah kewarganegaraan ga sih? bukan yang lain","yang dimaksud pak Bahlil itu pindah kewarganegaraan ga sih? bukan yang lain","yang dimaksud pak bahlil itu pindah kewarganegaraan ga sih bukan yang lain","yang dimaksud pak bahlil itu pindah kewarganegaraan tidak sih bukan yang lain","['bahlil', 'pindah', 'kewarganegaraan']","bahlil pindah kewarganegaraan","netral","0","0","2025-02-18 04:07:11"
"ochid’s comment: info negara tanpa tikus sama bahlul, budget 1,5jt","info negara tanpa tikus sama bahlul, budget 1,5jt","info negara tanpa tikus sama bahlul budget 15jt","info negara tanpa tikus sama bahlul budget 15jt","['info', 'negara', 'tikus', 'bahlul', 'budget']","info negara tikus bahlul budget","netral","0","0","2025-02-19 10:28:14"
"Risty’s comment: Pengen bgt pindh ke dubai","Pengen bgt pindh ke dubai","pengen bgt pindh ke dubai","ingin banget pindh ke dubai","['banget', 'pindh', 'dubai']","banget pindh dubai","positif","0","0","2025-02-20 18:28:57"
"Fahda Majied’s comment: sebenernya yg kita ragukam adalah nasionalisme bapak dkk pak soalnya 😅","sebenernya yg kita ragukam adalah nasionalisme bapak dkk pak soalnya 😅","sebenernya yg kita ragukam adalah nasionalisme bapak dkk pak soalnya","sebenernya yang kita ragukam adalah nasionalisme bapak dkk pak soalnya","['sebenernya', 'ragukam', 'nasionalisme']","sebenernya ragukam nasionalisme","negatif","2","0","2025-02-13 03:19:50"
"kami juga ragu sama pemerintahan ini🥱","kami juga ragu sama pemerintahan ini🥱","kami juga ragu sama pemerintahan ini","kami juga ragu sama pemerintahan ini","['ragu', 'perintah']","ragu perintah","negatif","0","0","2025-02-18 04:38:12"
"Hanina Wijaya’s comment: SEMUA SETUJU CARI KEHIDUPAN LEBIH TERJAMIN DILUAR NEGRI ..DLM.NEGRI HIDUP MISKIN SUSAH DUIT BUAT APA","SEMUA SETUJU CARI KEHIDUPAN LEBIH TERJAMIN DILUAR NEGRI ..DLM.NEGRI HIDUP MISKIN SUSAH DUIT BUAT APA","semua setuju cari kehidupan lebih terjamin diluar negri dlmnegri hidup miskin susah duit buat apa","semua setuju cari kehidupan lebih terjamin diluar negri dlmnegri hidup miskin susah duit buat apa","['tuju', 'cari', 'hidup', 'jamin', 'luar', 'negri', 'dlmnegri', 'hidup', 'miskin', 'susah', 'duit']","tuju cari hidup jamin luar negri dlmnegri hidup miskin susah duit","positif","0","0","2025-02-23 16:27:46"
"bunda nafasha’s comment: kali ini q ketawa aja lah..ya gimana y pak realistis aja.hidup dizaman sekarang bukan lagi berperang untk membela negara.tapi membela isi perut pak🙏🏻","kali ini q ketawa aja lah..ya gimana y pak realistis aja.hidup dizaman sekarang bukan lagi berperang untk membela negara.tapi membela isi perut pak🙏🏻","kali ini q ketawa aja lahya gimana y pak realistis ajahidup dizaman sekarang bukan lagi berperang untk membela negaratapi membela isi perut pak","kali ini saya ketawa aja lahya bagaimana y pak realistis ajahidup dizaman sekarang bukan lagi berperang untk membela negaratapi membela isi perut pak","['kali', 'ketawa', 'aja', 'lahya', 'realistis', 'ajahidup', 'zaman', 'perang', 'untk', 'bela', 'negaratapi', 'bela', 'isi', 'perut']","kali ketawa aja lahya realistis ajahidup zaman perang untk bela negaratapi bela isi perut","netral","0","0","2025-02-20 12:10:35"
"Mel🤙🍉’s comment: akan ku posting ulang saat benar-benar keluar dari sini","akan ku posting ulang saat benar-benar keluar dari sini","akan ku posting ulang saat benarbenar keluar dari sini","akan saya posting ulang saat benarbenar keluar dari sini","['posting', 'ulang', 'benarbenar']","posting ulang benarbenar","positif","0","0","2025-02-28 23:55:12"
"Bunga Aprilia5248’s comment: di posting ulang Nikita Mirzani
di komen ria ricis","di posting ulang Nikita Mirzani
di komen ria ricis","di posting ulang nikita mirzani di komen ria ricis","di posting ulang nikita mirzani di komen ria ricis","['posting', 'ulang', 'nikita', 'mirzani', 'ria', 'ricis']","posting ulang nikita mirzani ria ricis","netral","0","0","2025-02-19 17:11:23"
"Pia Simanjuntak’s comment: onee dayy🥰🥰","onee dayy🥰🥰","onee dayy","onee dayy","['onee', 'dayy']","onee dayy","positif","0","0","2025-02-11 11:17:57"
"2031 otw jepang😹","2031 otw jepang😹","2031 otw jepang","2031 otw jepang","['otw', 'jepang']","otw jepang","positif","2","1","2025-02-12 10:43:18"
"SUPRANEKADv2’s comment: tau lah gara-gara apa pindah luar negeri","tau lah gara-gara apa pindah luar negeri","tau lah garagara apa pindah luar negeri","tau lah garagara apa pindah luar negeri","['tau', 'garagara', 'pindah', 'negeri']","tau garagara pindah negeri","positif","0","0","2025-02-18 05:42:01"
"ya Allah one day giliran ku","ya Allah one day giliran ku","ya allah one day giliran ku","ya allah one day giliran saya","['allah', 'one', 'day', 'gilir']","allah one day gilir","positif","0","0","2025-02-21 13:28:11"
"nad leslar lovers cilacap’s comment: #kaburajadulu..aku udh di Singapura kadang malas pulang Indonesian 😂😂😂😂","#kaburajadulu..aku udh di Singapura kadang malas pulang Indonesian 😂😂😂😂","aku udh di singapura kadang malas pulang indonesian","saya sudah di singapura kadang malas pulang indonesia","['singapura', 'kadang', 'malas', 'pulang', 'indonesia']","singapura kadang malas pulang indonesia","positif","0","0","2025-02-19 14:18:07"
"Honey0608’s comment: eeeeimmmmmm","eeeeimmmmmm","eeeeimmmmmm","eim","['eim']","eim","netral","1","0","2025-02-12 05:05:42"
"mbax_dewwi’s comment: anak q setelah lulus SMA minta kerja ke Australia karena dia jago BHS.inggris ,katanya hasil kerja bisa buat kuliah...tapi AQ larang , egois kah AQ ?","anak q setelah lulus SMA minta kerja ke Australia karena dia jago BHS.inggris ,katanya hasil kerja bisa buat kuliah...tapi AQ larang , egois kah AQ ?","anak q setelah lulus sma minta kerja ke australia karena dia jago bhsinggris katanya hasil kerja bisa buat kuliahtapi aq larang egois kah aq","anak saya setelah lulus sma minta kerja ke australia karena dia jago bhsinggris katanya hasil kerja bisa buat kuliahtapi aq larang egois kah aq","['anak', 'lulus', 'sma', 'kerja', 'australia', 'jago', 'bhsinggris', 'hasil', 'kerja', 'kuliahtapi', 'aq', 'larang', 'egois', 'kah', 'aq']","anak lulus sma kerja australia jago bhsinggris hasil kerja kuliahtapi aq larang egois kah aq","negatif","0","0","2025-02-19 06:30:48"
"Nikita mirzani reposted😄","Nikita mirzani reposted😄","nikita mirzani reposted","nikita mirzani reposted","['nikita', 'mirzani', 'reposted']","nikita mirzani reposted","netral","1","0","2025-02-12 08:13:19"
"adhitya...adhelya’s comment: gaaaasssssss","gaaaasssssss","gaaaasssssss","gas","['gas']","gas","netral","0","0","2025-02-10 14:51:17"
"hadeh","hadeh","hadeh","hadeh","['hadeh']","hadeh","netral","1","0","2025-02-12 12:14:41"
"satria’s comment: realistis aja lah","realistis aja lah","realistis aja lah","realistis aja lah","['realistis', 'aja']","realistis aja","negatif","0","0","2025-02-14 12:39:36"
"tolong permudah kerja di luar negerii","tolong permudah kerja di luar negerii","tolong permudah kerja di luar negerii","tolong permudah kerja di luar negerii","['tolong', 'mudah', 'kerja', 'negeri']","tolong mudah kerja negeri","positif","0","0","2025-02-14 20:36:22"
"Gw aja pen keluar soon","Gw aja pen keluar soon","gw aja pen keluar soon","saya aja pen keluar soon","['aja', 'pen', 'soon']","aja pen soon","positif","0","0","2025-02-20 05:24:38"
"Raka Yaro’s comment: wkwk nasionalisme ga buat kenyang boss","wkwk nasionalisme ga buat kenyang boss","wkwk nasionalisme ga buat kenyang boss","wkwk nasionalisme tidak buat kenyang boss","['wkwk', 'nasionalisme', 'kenyang', 'boss']","wkwk nasionalisme kenyang boss","positif","1","0","2025-02-12 17:49:40"
"tuandaulay’s comment: nasionalisme ??? tak pantas anda bicara ttg nasioanalisme","nasionalisme ??? tak pantas anda bicara ttg nasioanalisme","nasionalisme tak pantas anda bicara ttg nasioanalisme","nasionalisme tak pantas anda bicara ttg nasioanalisme","['nasionalisme', 'bicara', 'ttg', 'nasioanalisme']","nasionalisme bicara ttg nasioanalisme","positif","1","0","2025-02-12 07:27:57"
"kga ngajak"" bang","kga ngajak"" bang","kga ngajak bang","kga ngajak bang","['kga', 'ngajak', 'bang']","kga ngajak bang","netral","1","0","2025-02-16 06:04:50"
"p info tutor ke luar negeri","p info tutor ke luar negeri","p info tutor ke luar negeri","p info tutor ke luar negeri","['info', 'tutor', 'negeri']","info tutor negeri","netral","0","0","2025-02-21 01:32:01"
"R I N’s comment: @hanifarrra kbur","@hanifarrra kbur","kbur","kabur","['kabur']","kabur","positif","0","1","2025-02-21 12:44:27"
"ItsRizky 🙌’s comment: Rakyat bebas memilih, jika ada pilihan/pny previllege pst otomatisnakan pilih opsi yg lbh baik ✌️🤭🙏","Rakyat bebas memilih, jika ada pilihan/pny previllege pst otomatisnakan pilih opsi yg lbh baik ✌️🤭🙏","rakyat bebas memilih jika ada pilihanpny previllege pst otomatisnakan pilih opsi yg lbh baik","rakyat bebas memilih jika ada pilihanpny previllege pst otomatisnakan pilih opsi yang lbh baik","['rakyat', 'bebas', 'pilih', 'pilihanpny', 'previllege', 'pst', 'otomatisnakan', 'pilih', 'opsi', 'lbh']","rakyat bebas pilih pilihanpny previllege pst otomatisnakan pilih opsi lbh","positif","5","0","2025-02-13 02:20:01"
"chimolci03’s comment: klo sudah urusan perut lain bpa..😅 🤦🏻‍♀️","klo sudah urusan perut lain bpa..😅 🤦🏻‍♀️","klo sudah urusan perut lain bpa","kalau sudah urusan perut lain bpa","['urus', 'perut', 'bpa']","urus perut bpa","netral","0","0","2025-02-15 18:49:20"
"Rokayah As Syarif’s comment: saya lebih memilih anak anak kerja diluar saja setelah lulus kuliah .karna saya mau merubah keturunan saya tuk , secara ekonomi itu bagus bangat gaji diluar .apalagi punya skil bagus","saya lebih memilih anak anak kerja diluar saja setelah lulus kuliah .karna saya mau merubah keturunan saya tuk , secara ekonomi itu bagus bangat gaji diluar .apalagi punya skil bagus","saya lebih memilih anak anak kerja diluar saja setelah lulus kuliah karna saya mau merubah keturunan saya tuk secara ekonomi itu bagus bangat gaji diluar apalagi punya skil bagus","saya lebih memilih anak anak kerja diluar saja setelah lulus kuliah karena saya mau merubah keturunan saya tuk secara ekonomi itu bagus bangat gaji diluar apalagi punya skil bagus","['pilih', 'anak', 'anak', 'kerja', 'luar', 'lulus', 'kuliah', 'rubah', 'turun', 'tuk', 'ekonomi', 'bagus', 'bangat', 'gaji', 'luar', 'skil', 'bagus']","pilih anak anak kerja luar lulus kuliah rubah turun tuk ekonomi bagus bangat gaji luar skil bagus","positif","2","0","2025-02-17 02:34:49"
"meg 𓆉 ⋆.˚ 𓇼’s comment: yaudah pak bisa g bikin lowongan pekerjaan yg besar setiap bulannya tanpa mandang penampilan menarik dan batas usia?🙏🏻","yaudah pak bisa g bikin lowongan pekerjaan yg besar setiap bulannya tanpa mandang penampilan menarik dan batas usia?🙏🏻","yaudah pak bisa g bikin lowongan pekerjaan yg besar setiap bulannya tanpa mandang penampilan menarik dan batas usia","ya sudah pak bisa tidak bikin lowongan pekerjaan yang besar setiap bulannya tanpa mandang penampilan menarik dan batas usia","['bikin', 'lowong', 'kerja', 'bulan', 'mandang', 'tampil', 'tarik', 'batas', 'usia']","bikin lowong kerja bulan mandang tampil tarik batas usia","negatif","2","0","2025-02-13 04:20:46"
"katanya pilih berkelanjutan kok pada mau kabur🤣🤣","katanya pilih berkelanjutan kok pada mau kabur🤣🤣","katanya pilih berkelanjutan kok pada mau kabur","katanya pilih berkelanjutan kok pada mau kabur","['pilih', 'lanjut', 'kabur']","pilih lanjut kabur","negatif","0","0","2025-02-11 01:19:22"
"peep🐣’s comment: gw cmn pngn menikmati fasilitas publik yg layak dri membayar pajak...
#KaburAjaDulu","gw cmn pngn menikmati fasilitas publik yg layak dri membayar pajak...
#KaburAjaDulu","gw cmn pngn menikmati fasilitas publik yg layak dri membayar pajak","saya cmn pngn menikmati fasilitas publik yang layak dri membayar pajak","['cmn', 'pngn', 'nikmat', 'fasilitas', 'publik', 'layak', 'dri', 'bayar', 'pajak']","cmn pngn nikmat fasilitas publik layak dri bayar pajak","negatif","0","0","2025-02-14 15:41:44"
"￶￶’s comment: sekarang gk mikir nasional mikirin perut😭nurutin nasional kering mak perut kerja di indo susah banyak sihh tapi untuk yang punya istri gak wort it kerja di indo gji 1juta","sekarang gk mikir nasional mikirin perut😭nurutin nasional kering mak perut kerja di indo susah banyak sihh tapi untuk yang punya istri gak wort it kerja di indo gji 1juta","sekarang gk mikir nasional mikirin perutnurutin nasional kering mak perut kerja di indo susah banyak sihh tapi untuk yang punya istri gak wort it kerja di indo gji 1juta","sekarang tidak mikir nasional mikirin perutnurutin nasional kering mak perut kerja di indonesia susah banyak sihh tapi untuk yang punya istri tidak wort it kerja di indonesia gji 1juta","['mikir', 'nasional', 'mikirin', 'perutnurutin', 'nasional', 'kering', 'mak', 'perut', 'kerja', 'indonesia', 'susah', 'sihh', 'istri', 'wort', 'it', 'kerja', 'indonesia', 'gji']","mikir nasional mikirin perutnurutin nasional kering mak perut kerja indonesia susah sihh istri wort it kerja indonesia gji","negatif","0","0","2025-02-17 06:11:26"
"𝗦𝗸𝘆 𝗽𝗶𝗲𝗿𝗰𝗲𝗿🐞’s comment: menurut sya nasionalisme bukan masalah tempat pak Bah...tp apa yg kita bisa berikan kepada masyarakat dan negara...","menurut sya nasionalisme bukan masalah tempat pak Bah...tp apa yg kita bisa berikan kepada masyarakat dan negara...","menurut sya nasionalisme bukan masalah tempat pak bahtp apa yg kita bisa berikan kepada masyarakat dan negara","menurut sya nasionalisme bukan masalah tempat pak bahtp apa yang kita bisa berikan kepada masyarakat dan negara","['sya', 'nasionalisme', 'bahtp', 'masyarakat', 'negara']","sya nasionalisme bahtp masyarakat negara","netral","0","0","2025-02-20 00:41:28"
"maunya gini jga 😭","maunya gini jga 😭","maunya gini jga","inginnya gini jga","['ingin', 'gin', 'jga']","ingin gin jga","positif","1","2","2025-02-12 18:06:07"
"nizam.jurlap’s comment: #kaburajadulu ke rusia","#kaburajadulu ke rusia","ke rusia","ke rusia","['rusia']","rusia","positif","0","0","2025-02-17 15:04:38"
"Mellybae’s comment: negri org tuh lebih asik,dan tenang menjadi org asing🗿","negri org tuh lebih asik,dan tenang menjadi org asing🗿","negri org tuh lebih asikdan tenang menjadi org asing","negri orang tuh lebih asikdan tenang menjadi orang asing","['negri', 'orang', 'asikdan', 'tenang', 'orang', 'asing']","negri orang asikdan tenang orang asing","positif","0","0","2025-02-16 07:10:19"
"nimceeee’s comment: kaya yg ngomong ada rasa nasionalisme aja ahhh😂😂😂😂","kaya yg ngomong ada rasa nasionalisme aja ahhh😂😂😂😂","kaya yg ngomong ada rasa nasionalisme aja ahhh","kaya yang ngomong ada rasa nasionalisme aja ah","['kaya', 'ngomong', 'nasionalisme', 'aja']","kaya ngomong nasionalisme aja","negatif","1","0","2025-02-13 08:25:36"
"yuLia aJa’s comment: aduh... bahas nasionalisme😂, org pemerintah aja kaga mikirin rakyatnya😂 lawak","aduh... bahas nasionalisme😂, org pemerintah aja kaga mikirin rakyatnya😂 lawak","aduh bahas nasionalisme org pemerintah aja kaga mikirin rakyatnya lawak","aduh bahas nasionalisme orang pemerintah aja kaga mikirin rakyatnya lawak","['aduh', 'bahas', 'nasionalisme', 'orang', 'perintah', 'aja', 'kaga', 'mikirin', 'rakyat', 'lawak']","aduh bahas nasionalisme orang perintah aja kaga mikirin rakyat lawak","negatif","0","0","2025-02-20 06:48:48"
"lanjut kan aja Abangku🔥 anggap radio rusak","lanjut kan aja Abangku🔥 anggap radio rusak","lanjut kan aja abangku anggap radio rusak","lanjut kan aja abangku anggap radio rusak","['aja', 'abang', 'anggap', 'radio', 'rusak']","aja abang anggap radio rusak","netral","0","0","2025-02-23 12:47:47"
"Asakura_JR🇹🇼’s comment: Goo","Goo","goo","goo","['goo']","goo","netral","0","0","2025-02-15 21:33:41"
"pageant empire💫’s comment: ya gpp sih pindah asal inget pulang inget di mana kalian lahir kalian lahir bukan di atas salju tapi di bawah terik matahari garis khatulistiwa","ya gpp sih pindah asal inget pulang inget di mana kalian lahir kalian lahir bukan di atas salju tapi di bawah terik matahari garis khatulistiwa","ya gpp sih pindah asal inget pulang inget di mana kalian lahir kalian lahir bukan di atas salju tapi di bawah terik matahari garis khatulistiwa","ya gpp sih pindah asal inget pulang inget di mana kalian lahir kalian lahir bukan di atas salju tapi di bawah terik matahari garis khatulistiwa","['gpp', 'pindah', 'inget', 'pulang', 'inget', 'lahir', 'lahir', 'salju', 'terik', 'matahari', 'garis', 'khatulistiwa']","gpp pindah inget pulang inget lahir lahir salju terik matahari garis khatulistiwa","negatif","1","0","2025-02-12 16:48:49"
"dania’s comment: coba i nya ganti .. u...","coba i nya ganti .. u...","coba i nya ganti u","coba i nya ganti kamu","['coba', 'ganti']","coba ganti","netral","0","0","2025-02-19 13:41:09"
"WKKWKWKWKWKWK","WKKWKWKWKWKWK","wkkwkwkwkwkwk","wkkwkwkwkwkwk","['wkkwkwkwkwkwk']","wkkwkwkwkwkwk","negatif","1","0","2025-02-13 16:00:42"
"dri pda mati di negara sndiri untuk menyenangkan penjabat, mending kabur wkwk","dri pda mati di negara sndiri untuk menyenangkan penjabat, mending kabur wkwk","dri pda mati di negara sndiri untuk menyenangkan penjabat mending kabur wkwk","dri pda mati di negara sndiri untuk menyenangkan penjabat mending kabur wkwk","['dri', 'pda', 'mati', 'negara', 'sndiri', 'senang', 'jabat', 'mending', 'kabur', 'wkwk']","dri pda mati negara sndiri senang jabat mending kabur wkwk","positif","0","0","2025-02-25 11:21:49"
"keongracun’s comment: preeetttt.....","preeetttt.....","preeetttt","pret","['pret']","pret","negatif","0","0","2025-02-20 02:41:52"
"abinaya2183’s comment: peluang kerja di luar negri lebih banyak..🤭","peluang kerja di luar negri lebih banyak..🤭","peluang kerja di luar negri lebih banyak","peluang kerja di luar negri lebih banyak","['peluang', 'kerja', 'negri']","peluang kerja negri","positif","2","0","2025-02-13 01:06:18"
"turtle’s comment: iya kabur aja dulu nanti abis kontrak balik lagi yaaa","iya kabur aja dulu nanti abis kontrak balik lagi yaaa","iya kabur aja dulu nanti abis kontrak balik lagi yaaa","iya kabur aja dulu nanti abis kontrak balik lagi ya","['iya', 'kabur', 'aja', 'abis', 'kontrak']","iya kabur aja abis kontrak","positif","0","0","2025-02-11 10:08:34"
